stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,alias,stop_area,authority,lest_x,lest_y,kommentaar,kovde_oigusakt
31419,6500347-1,Mammaste,58.0709994,27.0473327,Põlva suunas,,,0,,,,,,,Põlva vald,Põlvamaa,6440726.959,679776.4,,
154446,4400656-2,Leekova,59.429776,28.082586,,,,0,,,,,,,Vaivara vald,Narva linn,,,,
32652,5900668-1,Rägavere,59.233302,25.802263,,,,0,,,,,Viru5,,Tapa vald,Lääne-Virumaa,6567485.948,602869.697,,Tapa VV määrus 29.10.2015 nr 107
1179,09702-1,Sitsi,59.4530061,24.7031939,,,,0,,,,,Harju1,,Põhja-Tallinn,Tallinna linn,6590788.29,539884.47,,
28992,7000240-1,Kärneri,59.107088,24.798016,,,,0,,,,,Kohila,,Rapla vald,Raplamaa,6552316.274,545720.883,,Rapla VV määrus 23.11.2015 nr 473
24562,7800592-1,Möllatsi,58.4330913,26.8176744,Vesneri suunas,,,0,,,,,,,Tartu vald,Tartumaa,6480427.999,664542.5,,
24741,6700088-1,Enge,58.643128,24.558049,,,,0,,,,,,,Põhja-Pärnumaa vald,Pärnumaa,6500500.228,532402.731,,
157553,7801416-1,Andi,58.575451,26.6120852,,,,0,,,,,,,Tartu vald,Tartumaa,6495786.0,651925.812,,
1464,15704-1,Virbi,59.4428509,24.8471307,,,,0,,,,,Harju1,,Lasnamäe,Tallinna linn,6589751.37,548062.31,,
24694,5100511-1,Taadikvere,58.7127261,25.7515078,,,,0,,,,,,,Järva vald,Järvamaa,6509442.499,601487.312,,
1429,14906-1,Pae,59.4258635,24.8017275,,,,0,,,,,Harju1,,Lasnamäe,Tallinna linn,6587827.359,545509.09,,
11725,22340-1,Rõõsa,59.1536651,25.2941668,,,,0,,,,,Harju4B,,Kose vald,Harjumaa,6557946.999,574044.0,,Kose VV korraldus 1.nov 2016 nr 619
12159,30301-1,Saunja küla,59.4258492,25.3044963,,,,0,,,,,Harju3,,Kuusalu vald,Harjumaa,6588273.825,574045.274,,Kuusalu VV 24.09.2020 korraldus nr 587
20359,6700995-1,Tammetuka,58.1702807,24.5820627,,,,0,,,,,,,Häädemeeste vald,Pärnumaa,6447848.929,534254.03,,
162180,7801465-1,Hiieküla,58.3730263,26.6430258,,,,0,,,,,,,Tartu linn,Tartu linn,6473328.099,654612.61,,
33543,5100051-1,Esna,58.9706361,25.77786,,,,0,,,,,"tartu1,tartu2",,Järva vald,Järvamaa,6538199.999,602252.562,,
153594,6501049-1,Nulga tee,58.070689,27.407259,Kassilaane tee suunas,,,0,,,,,,,Räpina vald,Põlvamaa,6441714.009,700994.589,,
138506,6701254-1,Karbisaadu,58.0808912,24.858948,,,,0,,,,,,,Saarde vald,Pärnumaa,6438068.799,550675.3,,
25619,4400700-1,Smolnitsa,59.0116183,27.598694,Vasknarva suunas,,,0,,,,,,,Alutaguse vald,Ida-Virumaa,6546954.71,706656.899,,
87215,3700018-1,Emmaste,58.7058346,22.5971968,,,,0,,,,,,,Emmaste vald,Hiiumaa,6508199.999,418698.25,,
20684,7400444-1,Mustjala,58.4614557,22.237627,,,,0,,,,,,,Saaremaa vald,Saaremaa,6481481.99,397148.04,,
143515,4990068-2,Tamme-Mäe,58.9199841,26.8204003,Piilsi suunas,,,0,,,,,Viru7,,Mustvee vald,Jõgevamaa,,,,
4901,21914-1,Kernu mõis,59.1562681,24.5040587,,,,0,,,,,Harju4A,,Saue vald,Harjumaa,6557631.0,528838.375,"endine Kernu rahvamaja, post 541a puudu 08.2021",Saue valla korraldus nr 1232 26.09.2018
20891,4400462-1,Mäetaguse,59.224631,27.295353,Kohtla-Järve suunas,,,0,,,,,,,Alutaguse vald,Ida-Virumaa,6569759.035,688086.802,,
28483,7400184-1,Karja,58.514289,22.704804,,,,0,,,,,,,Saaremaa vald,Saaremaa,6486744.02,424522.07,,
29991,6700624-1,Nurmiste,58.3390626,23.9752605,,,,0,,,,,,,Pärnu linn,Pärnumaa,6466499.08,498551.01,,
24055,4400553-1,Peeterristi,59.4007363,28.0660023,Narva suunas,,,0,,,,,,,Narva-Jõesuu linn,Ida-Virumaa,6591754.499,730835.437,,
163883,7801469-1,Ülesoo,58.501706,26.652089,,,,0,,,,,,,Tartu vald,Tartumaa,6487670.0,654576.0,,
21586,7400832-1,Vanakubja,58.4722778,22.2271218,,,,0,,,,,,,Saaremaa vald,Saaremaa,6482703.08,396566.949,,
146757,4401047-1,Tuuletare,59.437762,27.445301,Ontika suunas,,,0,,,,,,,Jõhvi vald,Ida-Virumaa,6593900.717,695418.948,,
22395,8600318-1,Liivamäe,57.8579011,27.218522,Kääpa suunas,,,0,,,,,,,Võru vald,Võrumaa,6417491.52,691006.51,,
32035,4400295-1,Luhamäe,59.3909577,27.5921996,Narva suunas,,,0,,,,,,,Toila vald,Ida-Virumaa,6589131.079,704022.4,,
